,germination,growth,maturity
19156,281.48108013937286,291.6632926829269,279.0287979094077
19157,282.3437043189369,292.5860299003322,280.24700996677745
19158,282.54548469387754,292.16561224489794,281.29484693877555
19159,282.0411263736264,291.8392170329671,280.76968406593403
19160,284.15507389162565,292.41798029556645,281.40460591133007
19161,282.56530612244893,292.2064378478664,280.3912987012987
19162,282.6567142857144,292.00666666666666,281.200761904762
19163,282.84274891774896,291.8141125541125,280.64846320346317
19164,284.0166472303207,292.4439067055394,281.4699416909622
19165,282.6266176470589,292.1283613445378,280.7368697478991
19166,282.57757763975155,292.2561904761905,280.71877846790886
19167,284.9845013477089,292.7790835579515,282.34625336927223
19168,283.94478696741845,292.5384461152883,281.37453634085216
19169,282.6846428571428,291.9349553571429,280.69493303571437
19170,284.2832857142857,292.03360714285714,281.6502142857142
19171,285.0087551020408,293.25297959183666,282.31957142857135
19172,281.53079591836735,291.52520408163264,280.4419795918368
19173,283.5215197568389,291.9645592705168,281.3804863221885
19174,283.8242165898617,292.16652073732723,281.51410138248855
19175,282.66383219954645,291.68691609977327,280.84244897959184
19176,284.82754527162973,292.84754527162977,282.1916498993964
19177,281.97401785714277,292.0312142857143,280.92289285714287
19178,282.7064795918367,291.31918367346947,280.5952551020409
19179,284.9898285714286,292.80291428571434,282.4942857142857
19180,282.9229464285715,292.20111607142854,280.71410714285724
19181,283.19049180327875,291.67117096018734,280.9972131147542
19182,282.25460317460323,292.1036507936508,280.5452645502645
19183,285.75716141001857,293.8827829313544,282.7677179962895
19184,282.6017755102041,292.13416326530614,280.98891836734697
19185,284.2795535714286,292.6862857142857,281.70780357142854
19186,282.8208163265307,291.84707482993196,280.8200680272109
19187,283.21022857142856,291.99739999999997,281.0539999999999
19188,284.76490842490847,292.57963369963375,282.2619963369963
19189,283.1694957983193,292.0106302521008,280.8205672268908
19190,282.33759637188206,291.121746031746,280.3916780045352
19191,282.6349248120302,292.0087218045112,280.69270676691724
19192,282.36152380952376,292.0520714285714,280.8798809523809
19193,284.2431922398589,292.3734038800706,281.4950264550265
19194,282.4983102918587,292.40671274961596,280.4464362519201
19195,282.4905510204082,291.83834693877554,281.00230612244894
19196,284.20825665859564,292.3506053268766,281.7615980629541
19197,284.2077777777778,292.3080952380953,281.7362962962963
19198,283.71032069970846,292.10131195335276,281.0167930029155
19199,284.9976354679803,293.2195894909688,281.97829228243023
19200,282.0091358024691,291.92365079365067,280.7505467372135
19201,281.48519480519485,291.69836363636364,280.50690909090906
19202,282.0365746753247,292.607987012987,280.67316558441564
19203,282.2672380952381,292.45104761904764,281.080746031746
